layerID,head,strategy,score
2,20,special_punc_heavy_hitter,0.97265625
2,21,special_punc_heavy_hitter,0.9921875
2,22,special_punc_heavy_hitter,0.98046875
2,23,special_punc_heavy_hitter,0.95703125
2,24,special_punc_heavy_hitter,0.97265625
2,25,special_punc_heavy_hitter,0.97265625
2,26,special_punc_heavy_hitter,0.96875
2,27,special_punc_heavy_hitter,0.92578125
2,28,special_punc_heavy_hitter,0.97265625
2,29,special_punc_heavy_hitter,0.9140625
2,30,special_punc_heavy_hitter,0.9296875
2,31,special_punc_heavy_hitter,0.9765625
3,0,special_punc_heavy_hitter,0.9609375
3,1,special_punc_heavy_hitter,0.9453125
3,2,special_punc_heavy_hitter,0.9765625
3,3,special_punc_heavy_hitter,0.94140625
3,4,special_punc_heavy_hitter,0.98046875
3,5,special_punc_heavy_hitter,0.96875
3,6,special_punc_heavy_hitter,0.95703125
3,7,special_punc_heavy_hitter,0.96875
3,8,special_punc_heavy_hitter,0.98046875
3,9,special_punc_heavy_hitter,0.9609375
3,10,special_punc_heavy_hitter,0.98046875
3,11,special_punc_heavy_hitter,0.96875
3,12,special_punc_heavy_hitter,0.984375
3,13,special_punc_heavy_hitter,0.96484375
3,14,special_punc_heavy_hitter,0.98046875
3,15,special_punc_heavy_hitter,0.96484375
3,16,special_punc_heavy_hitter,0.95703125
3,17,special_punc_heavy_hitter,0.98046875
3,18,special_punc_heavy_hitter,0.984375
3,19,special_punc_heavy_hitter,0.97265625
3,20,special_punc_heavy_hitter,0.96484375
3,21,special_punc_heavy_hitter,0.953125
3,22,special_punc_heavy_hitter,0.97265625
3,23,special_punc_heavy_hitter,0.984375
3,24,special_punc_heavy_hitter,0.984375
3,25,special_punc_heavy_hitter,0.9765625
3,26,special_punc_heavy_hitter,0.9609375
3,27,special_punc_heavy_hitter,0.984375
3,28,special_punc_heavy_hitter,0.98046875
3,29,special_punc_heavy_hitter,0.984375
3,30,special_punc_heavy_hitter,0.9765625
3,31,special_punc_heavy_hitter,0.98828125
4,0,special_punc_heavy_hitter,0.953125
4,1,special_punc_heavy_hitter,0.96484375
4,2,special_punc_heavy_hitter,0.97265625
4,3,special_punc_heavy_hitter,0.98046875
4,4,special_punc_heavy_hitter,0.9375
4,5,special_punc_heavy_hitter,0.96875
4,6,special_punc_heavy_hitter,0.98046875
4,7,special_punc_heavy_hitter,0.93359375
4,8,special_punc_heavy_hitter,0.98828125
4,9,special_punc_heavy_hitter,0.94140625
4,10,special_punc_heavy_hitter,0.96484375
4,11,special_punc_heavy_hitter,0.96875
4,12,special_punc_heavy_hitter,0.91796875
4,13,special_punc_heavy_hitter,0.953125
4,14,special_punc_heavy_hitter,0.95703125
4,15,special_punc_heavy_hitter,0.984375
4,16,special_punc_heavy_hitter,0.95703125
4,17,special_punc_heavy_hitter,0.96875
4,18,special_punc_heavy_hitter,0.95703125
4,19,special_punc_heavy_hitter,0.96875
4,20,special_punc_heavy_hitter,0.98828125
4,21,special_punc_heavy_hitter,0.95703125
4,22,special_punc_heavy_hitter,0.9453125
4,23,special_punc_heavy_hitter,0.96875
4,24,special_punc_heavy_hitter,0.984375
4,25,special_punc_heavy_hitter,0.98046875
4,26,special_punc_heavy_hitter,0.9453125
4,27,special_punc_heavy_hitter,0.98046875
4,28,special_punc_heavy_hitter,0.953125
4,29,special_punc_heavy_hitter,0.953125
4,30,special_punc_heavy_hitter,0.95703125
4,31,special_punc_heavy_hitter,0.98828125
5,0,special_punc_heavy_hitter,0.9296875
5,1,special_punc_heavy_hitter,0.9609375
5,2,special_punc_heavy_hitter,0.984375
5,3,special_punc_heavy_hitter,0.9921875
5,4,special_punc_heavy_hitter,0.97265625
5,5,special_punc_heavy_hitter,0.984375
5,6,special_punc_heavy_hitter,0.99609375
5,7,special_punc_heavy_hitter,0.98046875
5,8,special_punc_heavy_hitter,0.94921875
