layerID,head,strategy,score
0,0,special,0.21875
0,0,special_punc,0.3203125
0,0,special_punc_heavy_hitter,0.71484375
0,0,special_punch_window_heavy_hitter,0.95703125
0,0,full,1.0
0,1,special,0.1845703125
0,1,special_punc,0.287109375
0,1,special_punc_heavy_hitter,0.765625
0,1,special_punch_window_heavy_hitter,0.94921875
0,1,full,1.0
0,2,special,0.23046875
0,2,special_punc,0.3125
0,2,special_punc_heavy_hitter,0.76953125
0,2,special_punch_window_heavy_hitter,0.94140625
0,2,full,1.0
0,3,special,0.23828125
0,3,special_punc,0.30078125
0,3,special_punc_heavy_hitter,0.69921875
0,3,special_punch_window_heavy_hitter,0.9375
0,3,full,1.0
0,4,special,0.1630859375
0,4,special_punc,0.396484375
0,4,special_punc_heavy_hitter,0.86328125
0,4,special_punch_window_heavy_hitter,0.96875
0,4,full,1.0
0,5,special,0.2060546875
0,5,special_punc,0.267578125
0,5,special_punc_heavy_hitter,0.734375
0,5,special_punch_window_heavy_hitter,0.93359375
0,5,full,1.0
0,6,special,0.197265625
0,6,special_punc,0.244140625
0,6,special_punc_heavy_hitter,0.72265625
0,6,special_punch_window_heavy_hitter,0.94921875
0,6,full,1.0
0,7,special,0.2451171875
0,7,special_punc,0.275390625
0,7,special_punc_heavy_hitter,0.82421875
0,7,special_punch_window_heavy_hitter,0.9453125
0,7,full,1.0
0,8,special,0.16796875
0,8,special_punc,0.232421875
0,8,special_punc_heavy_hitter,0.6484375
0,8,special_punch_window_heavy_hitter,0.9375
0,8,full,1.0
0,9,special,0.2353515625
0,9,special_punc,0.30078125
0,9,special_punc_heavy_hitter,0.828125
0,9,special_punch_window_heavy_hitter,0.95703125
0,9,full,1.0
0,10,special,0.220703125
0,10,special_punc,0.341796875
0,10,special_punc_heavy_hitter,0.7421875
0,10,special_punch_window_heavy_hitter,0.94140625
0,10,full,1.0
0,11,special,0.2216796875
0,11,special_punc,0.37109375
0,11,special_punc_heavy_hitter,0.87890625
0,11,special_punch_window_heavy_hitter,0.953125
0,11,full,1.0
0,12,special,0.1591796875
0,12,special_punc,0.234375
0,12,special_punc_heavy_hitter,0.54296875
0,12,special_punch_window_heavy_hitter,0.921875
0,12,full,1.0
0,13,special,0.2294921875
0,13,special_punc,0.322265625
0,13,special_punc_heavy_hitter,0.78515625
0,13,special_punch_window_heavy_hitter,0.94921875
0,13,full,1.0
0,14,special,0.2001953125
0,14,special_punc,0.28515625
0,14,special_punc_heavy_hitter,0.78125
0,14,special_punch_window_heavy_hitter,0.9453125
0,14,full,1.0
0,15,special,0.17578125
0,15,special_punc,0.26171875
0,15,special_punc_heavy_hitter,0.55859375
0,15,special_punch_window_heavy_hitter,0.96484375
0,15,full,1.0
0,16,special,0.208984375
0,16,special_punc,0.27734375
0,16,special_punc_heavy_hitter,0.70703125
0,16,special_punch_window_heavy_hitter,0.9453125
0,16,full,1.0
0,17,special,0.185546875
0,17,special_punc,0.263671875
0,17,special_punc_heavy_hitter,0.73046875
0,17,special_punch_window_heavy_hitter,0.9375
0,17,full,1.0
0,18,special,0.16796875
0,18,special_punc,0.23046875
0,18,special_punc_heavy_hitter,0.59765625
0,18,special_punch_window_heavy_hitter,0.94921875
0,18,full,1.0
0,19,special,0.19140625
0,19,special_punc,0.34375
0,19,special_punc_heavy_hitter,0.9140625
0,19,special_punch_window_heavy_hitter,0.984375
0,19,full,1.0
0,20,special,0.1796875
0,20,special_punc,0.2294921875
0,20,special_punc_heavy_hitter,0.7109375
0,20,special_punch_window_heavy_hitter,0.9375
0,20,full,1.0
0,21,special,0.23828125
0,21,special_punc,0.302734375
0,21,special_punc_heavy_hitter,0.8203125
0,21,special_punch_window_heavy_hitter,0.96875
0,21,full,1.0
0,22,special,0.138671875
0,22,special_punc,0.21875
0,22,special_punc_heavy_hitter,0.81640625
0,22,special_punch_window_heavy_hitter,0.96875
0,22,full,1.0
0,23,special,0.19921875
0,23,special_punc,0.30078125
0,23,special_punc_heavy_hitter,0.734375
0,23,special_punch_window_heavy_hitter,0.94921875
0,23,full,1.0
0,24,special,0.2138671875
0,24,special_punc,0.2890625
0,24,special_punc_heavy_hitter,0.765625
0,24,special_punch_window_heavy_hitter,0.9375
0,24,full,1.0
0,25,special,0.146484375
0,25,special_punc,0.21484375
0,25,special_punc_heavy_hitter,0.474609375
0,25,special_punch_window_heavy_hitter,0.97265625
0,25,full,1.0
0,26,special,0.14453125
0,26,special_punc,0.1845703125
0,26,special_punc_heavy_hitter,0.6328125
0,26,special_punch_window_heavy_hitter,0.94140625
0,26,full,1.0
0,27,special,0.2021484375
0,27,special_punc,0.31640625
0,27,special_punc_heavy_hitter,0.70703125
0,27,special_punch_window_heavy_hitter,0.9375
0,27,full,1.0
0,28,special,0.1953125
0,28,special_punc,0.259765625
0,28,special_punc_heavy_hitter,0.7109375
0,28,special_punch_window_heavy_hitter,0.9296875
0,28,full,1.0
0,29,special,0.375
0,29,special_punc,0.40625
0,29,special_punc_heavy_hitter,0.73828125
0,29,special_punch_window_heavy_hitter,0.96484375
0,29,full,1.0
0,30,special,0.2177734375
0,30,special_punc,0.33203125
0,30,special_punc_heavy_hitter,0.8203125
0,30,special_punch_window_heavy_hitter,0.93359375
0,30,full,1.0
0,31,special,0.1875
0,31,special_punc,0.2890625
0,31,special_punc_heavy_hitter,0.69921875
0,31,special_punch_window_heavy_hitter,0.93359375
0,31,full,1.0
1,0,special,0.158203125
1,0,special_punc,0.30859375
1,0,special_punc_heavy_hitter,0.71484375
1,0,special_punch_window_heavy_hitter,0.9765625
1,0,full,1.0
1,1,special,0.1865234375
1,1,special_punc,0.34765625
1,1,special_punc_heavy_hitter,0.71875
1,1,special_punch_window_heavy_hitter,0.96484375
1,1,full,1.0
1,2,special,0.177734375
1,2,special_punc,0.296875
1,2,special_punc_heavy_hitter,0.5703125
1,2,special_punch_window_heavy_hitter,0.94921875
1,2,full,1.0
1,3,special,0.23046875
1,3,special_punc,0.400390625
1,3,special_punc_heavy_hitter,0.80078125
1,3,special_punch_window_heavy_hitter,0.97265625
