layerID,head,avg_dropped_token_score,avg_remaining_token_score
0,0,0.00020810440588396568,1.1816684871118786
0,1,0.0003766983278916163,1.0673161008512113
0,2,0.0005382549924063966,0.9450929306249202
0,3,0.00013459255735951713,1.3323821927998003
0,4,0.00017747388587348423,1.0466425782600737
0,5,0.0004447379659422224,0.9735289705286915
0,6,0.00023922683524380407,1.0108259579188017
0,7,0.00018686169940808312,0.936918040532123
0,8,0.0002373593314009685,1.1603685400445198
0,9,0.0002099763267033821,0.9705874924707322
0,10,0.0002935607746497333,1.0139593697319467
0,11,0.00018885238507500063,1.0091935330187414
0,12,0.00011386910496582698,1.3212976038682598
0,13,0.00026066961268233287,0.9595619552262382
0,14,0.0004369657016340457,0.9754986916828065
0,15,7.039529565733536e-05,1.4505875161618786
0,16,0.0002100556049150784,1.0372283601488903
0,17,0.00031552121283948164,0.9615191853545011
0,18,0.00011296221291974029,1.3382884139910396
0,19,9.91985781934177e-05,1.3752211362350124
0,20,0.0003177560484444589,0.9700925209676358
0,21,3.2900730709285485e-05,0.9648405832199543
0,22,7.529823973762681e-05,0.9685956032330546
0,23,0.00034937948148857853,0.976201857592443
0,24,0.00014689855744237033,0.9361139337599504
0,25,5.197393585744059e-05,1.9259278906275565
0,26,0.00019310613199278356,1.144049712177012
0,27,0.00031905713198277587,0.9615427964993756
0,28,0.0002923698801570085,0.9841604969913968
0,29,3.237667227666145e-05,1.4381001284027282
0,30,0.0001821481341635211,0.9594415359114059
0,31,0.000381270227758475,0.9546703743843978
1,0,6.320868044137842e-05,1.7487225760865122
1,1,8.104053750501842e-05,1.351424492017398
1,2,5.386704468213717e-05,1.7367076929871121
1,3,5.6686849624550184e-05,1.198701761238022
1,4,0.00018449230387523823,1.1728051617571609
1,5,0.00016418115604836396,1.1545650885925547
1,6,7.527592493584519e-05,1.616455259261929
1,7,4.274260325425319e-05,1.3527134113552
1,8,0.00013680893256321917,0.9886806550871283
1,9,3.557573382099846e-05,1.0028000219579885
1,10,9.195499865632232e-05,1.3424158880465837
1,11,0.00022607307757508584,0.9839791337120216
1,12,4.1969100455548784e-05,1.3768266153312907
1,13,7.462752890502994e-05,1.1489678670018344
1,14,8.135453541890387e-05,1.367745639310137
1,15,2.5255434050920583e-05,1.6235028976156685
1,16,4.684116204670985e-05,1.5578887015014546
1,17,3.4773553609984414e-05,1.0542738299406074
1,18,0.00010397946535278897,1.1215385009354057
1,19,3.0288946309743902e-05,1.8917529348978073
1,20,0.00013835192352306265,1.078686082204485
1,21,3.955165056410422e-05,1.324962923905242
1,22,4.210131891610743e-05,2.798788312156844
1,23,7.586108822648426e-05,1.1299925358689784
1,24,2.943142119774833e-05,1.583360834323408
1,25,3.580355584793535e-05,1.378475726160713
1,26,0.00012387211242601711,1.0534629518654863
1,27,3.605274025587706e-05,1.707218918226971
1,28,3.828793013324775e-05,1.307181533015273
1,29,0.00010285946375193201,1.2338816900330352
1,30,5.264317613998481e-05,1.297695046991903
1,31,4.7302356584215276e-05,1.3028305460744938
2,0,4.369438461219013e-06,1.1733800561482461
2,1,1.1031627553005085e-05,1.09321182977564
2,2,3.4345742439910615e-06,1.2529091864484345
2,3,2.1313074110785306e-05,1.0417216702332515
2,4,9.15213257367006e-06,1.1749596323803804
2,5,4.852766829539931e-06,1.2425449653723395
2,6,2.2291151381691098e-05,1.0060057235534654
2,7,5.3617719435655635e-06,1.2486201332095912
2,8,5.806684270976218e-06,1.1530507731573663
2,9,8.257965079702572e-06,1.1146766720729182
2,10,6.958816027538614e-06,1.1005838594962436
2,11,4.399763709559353e-06,1.2080129764605838
2,12,3.4588163390178397e-06,1.150219131558567
2,13,4.362758753785448e-06,1.123343180340959
2,14,8.990812088027597e-06,1.114052913828041
2,15,3.682533522044239e-06,1.1608661600165493
2,16,3.7585317477610415e-06,1.158861034723289
2,17,1.962633640147584e-06,1.2352654220600092
2,18,5.225268787653857e-06,1.1963360885816836
2,19,6.299465236244817e-06,1.1139238961749203
2,20,1.0528033908139852e-05,1.101633988519132
2,21,1.3105015214049232e-05,1.0136083885744045
2,22,4.405963833931019e-06,1.0369376317516479
